,0
0,2.782765573945584
1,6.428344543590132
2,3.7264307482180983
3,4.132206933697908
4,7.066747020165984
5,2.303744463909742
6,6.918075472194866
7,5.588832521081342
8,4.320720289748294
9,3.128848461669273
10,1.9494606047434964
11,7.789758115754554
12,6.8228680762909
13,6.524961747464962
14,5.4149098676833685
15,4.1779323306425935
16,7.717374623895267
17,4.663809363538182
18,3.9113306102357264
19,7.722520628828127
20,5.224104133881558
21,2.584755363269745
22,3.0272808525694384
23,7.761115111313375
24,7.805880017075641
25,5.396713064126991
26,2.6155542252168673
27,5.126299560849686
28,7.7442314324960275
29,5.672420139447564
30,5.523200973089348
31,2.1603756113987367
32,7.133988516666788
33,6.237808760562654
34,5.549891097725708
35,3.597609394978826
36,2.659624757885962
37,6.611126642863477
38,4.807683588401479
39,5.373274855814175
40,6.257054483233751
41,7.520880454099087
42,6.510491314403275
43,6.738802442696267
44,5.731373594119953
45,4.192705926229926
46,4.407647743759992
47,5.923508205978422
48,7.7968704865622165
49,4.13456663025865
50,5.320309772098061
51,4.893043039500007
52,4.2440687278766065
53,7.010114674431012
54,5.231051998444475
55,5.241166874929837
56,6.344876213909315
57,5.788147452450058
58,4.756983346760136
59,6.369649343953833
60,7.529758321800029
61,4.915637420461189
62,6.146253701969479
63,4.493758450058894
64,5.808385850296171
65,6.987570383480145
66,4.7051214088578694
67,7.3137629432959015
68,7.528021841599629
69,4.924499021947567
70,3.301324244029534
71,5.186637323498269
72,6.077899193462759
73,6.966516755522195
74,6.562925286275287
75,6.341031891049889
76,6.3668704951869755
77,3.4042331959380103
78,6.886093644410881
79,5.638349459024051
80,7.738487633618991
81,3.9852075665629627
82,6.11071261935762
83,6.400101993917911
84,5.552984852478541
85,6.217145291583487
86,7.446380362005337
87,6.069278097936799
88,6.785039500037108
89,6.886364547806391
90,3.6981127978559742
91,6.373144991531528
92,3.0446863236943096
93,1.819285735011813
94,6.17888159245141
95,6.251755679667873
96,5.3241510565023855
97,5.401468589417788
98,6.214034999839874
99,6.895330972384247
100,7.112907479906669
101,4.357740713583593
102,7.111701009845997
103,2.5178055093644964
104,7.5266108546847255
105,7.435180805530883
106,6.138361348526928
107,7.470387914886221
108,5.481061741924613
109,7.797741638688673
110,7.16477644990067
111,6.269818026180471
112,7.225647119250004
113,5.931300304483489
114,7.457744582033653
115,5.320277758372832
116,6.57333271574052
117,5.974568835399362
118,6.656686865727174
119,7.65743768473023
120,2.867431107268768
121,8.59334986844231
122,5.795043834661543
123,6.774724982994577
124,7.48926617659979
125,3.149234863920627
126,4.8636820946042265
127,3.5513999907560003
128,7.203770733664005
129,5.68694433781324
130,2.9157217609494963
131,5.414137099302017
132,6.484723487541814
133,7.741478304497518
134,2.8005684869210765
135,4.739376714490023
136,4.1413236334934505
137,5.513074513878282
138,4.6523481551020085
139,4.424509466695603
140,4.609514648712042
141,4.925791217775441
142,5.4314042184478435
143,6.921858304978717
144,4.808620633243017
145,6.727524645017129
146,2.567482651907357
147,6.287068166479433
148,5.2414171028678345
149,1.3293093034405938
150,4.184979845495754
151,5.257672770385365
152,3.733045757494039
153,6.115612411280171
154,7.587789152748282
155,4.072341530292091
156,7.383363342856688
157,3.28824045710686
158,6.835764502290222
159,4.460475804437767
160,5.147839182725628
161,6.276675812999082
162,6.958258291627857
163,3.385369380267278
164,7.752671910232454
165,5.982308773322458
166,2.0070528315931697
167,7.373584196625232
168,5.346031239682971
169,7.250946372936383
170,2.2250224986809783
171,2.8579203492288316
172,4.822432697371924
173,3.9896822664979417
174,6.344700978718079
175,6.0216790586098945
176,5.3973727843195425
177,5.177741794640528
178,8.053971828644716
179,5.6147910597926405
180,5.629630098834285
181,5.554460680682474
182,7.299382919933469
183,5.402620917114349
184,7.650201061349389
185,5.293236862407442
186,6.867772262229407
187,6.66552283859361
188,6.354125482419906
189,5.362610108973846
190,4.0116754929587115
191,6.8848571053359295
192,1.692269443042992
193,6.198654066199916
194,2.3922485500062587
195,3.2137681030791865
196,5.908171847576293
197,6.562888009385866
198,4.734780683350351
199,2.6609490539153544
200,5.755102472004876
201,6.312380649869709
202,3.794965017408509
203,1.988507584145046
204,5.523021428870741
205,7.418780461588593
206,4.065314959932558
207,7.64744831254669
208,5.2274808006274665
209,3.390635346015141
210,6.28509829470447
211,6.6589344522925735
212,6.4800692400111615
213,7.062283706856663
214,6.937179114139636
215,7.6265351421510115
216,6.017259585498938
217,4.3269509165487285
218,6.04443194103759
219,7.840231372850229
220,7.8349485537740176
221,9.182680000511768
222,5.681281116169794
223,7.61358892047406
224,6.903252806158908
225,5.723156349391564
226,5.537345559851827
227,3.6709284210539
228,6.810240514612028
229,6.677630146523937
230,7.165592102416441
231,3.52831438922634
232,3.0719854585171276
233,7.694306854545509
234,5.432429802576486
235,5.900025684628672
236,6.20661216407405
237,6.824614361708937
238,6.101125785242479
239,7.524308435994617
240,4.374169256672879
241,2.12107222709689
242,6.65685387186603
